fio,phone,birth,addr,people_num,people_fio,invalids,children,children_age,food,diet,water,drugs,drugs_detail,gigien,gigien_detail,pampers,pampers_detail,pers_data_agreement,photo_agreement,birth_year,_id
"{'family': '15.30', 'name': 'a', 'paternal': 's'}",0632617917,11.09.1975,"{'city': 'Харьков', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Нет,Нет,1975,63568577ad68bd4ff040b439
fio,phone,birth,addr,people_num,people_fio,invalids,children,children_age,food,diet,water,drugs,drugs_detail,gigien,gigien_detail,pampers,pampers_detail,pers_data_agreement,photo_agreement,birth_year,_id
"{'family': '15.46', 'name': 'ggg', 'paternal': ''}",,11.02.1985,"{'city': '', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1985,6356893e112bce2766001c7b
fio,phone,birth,addr,people_num,people_fio,invalids,children,children_age,food,diet,water,drugs,drugs_detail,gigien,gigien_detail,pampers,pampers_detail,pers_data_agreement,photo_agreement,birth_year,_id
"{'family': '15.50', 'name': 'Artem', 'paternal': ''}",7145789456,11.02.1980,"{'city': 'Kharkov', 'distr': 'Шевченковский', 'street': 'ddd', 'house': '2', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Нет,Нет,1980,63568a3738a3983289364358
fio,phone,birth,addr,people_num,people_fio,invalids,children,children_age,food,diet,water,drugs,drugs_detail,gigien,gigien_detail,pampers,pampers_detail,pers_data_agreement,photo_agreement,birth_year,_id
"{'family': '16.08 24/10', 'name': 'aaa', 'paternal': 'sss'}",,11.09.1975,"{'city': '', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Нет,Нет,1975,63568e5afe5bd8feb5c80632
fio,phone,birth,addr,people_num,people_fio,invalids,children,children_age,food,diet,water,drugs,drugs_detail,gigien,gigien_detail,pampers,pampers_detail,pers_data_agreement,photo_agreement,birth_year,_id
"{'family': '16.17 24/10', 'name': 'Artem', 'paternal': ''}",,11.09.1970,"{'city': 'Kharkov', 'distr': 'Шевченковский', 'street': 'ddd', 'house': '2', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1970,635690877e3215d9efbab370
fio,phone,birth,addr,people_num,people_fio,invalids,children,children_age,food,diet,water,drugs,drugs_detail,gigien,gigien_detail,pampers,pampers_detail,pers_data_agreement,photo_agreement,birth_year,_id
"{'family': '16.19 24/10', 'name': 'Artem', 'paternal': ''}",,11.02.1985,"{'city': 'Kharkov', 'distr': 'Шевченковский', 'street': 'ddd', 'house': '2', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1985,635690877e3215d9efbab370
fio,phone,birth,addr,people_num,people_fio,invalids,children,children_age,food,diet,water,drugs,drugs_detail,gigien,gigien_detail,pampers,pampers_detail,pers_data_agreement,photo_agreement,birth_year,_id
"{'family': '16.20 24/10', 'name': 'Artem', 'paternal': ''}",7145789456,11.09.1971,"{'city': 'Kharkov', 'distr': 'Шевченковский', 'street': 'ddd', 'house': '2', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1971,635690877e3215d9efbab370
fio,phone,birth,addr,people_num,people_fio,invalids,children,children_age,food,diet,water,drugs,drugs_detail,gigien,gigien_detail,pampers,pampers_detail,pers_data_agreement,photo_agreement,birth_year,_id
"{'family': '16.21', 'name': 'ffff', 'paternal': 'aaa'}",0632617917,11.02.1980,"{'city': 'Харьков', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1980,635690877e3215d9efbab370
fio,phone,birth,addr,people_num,people_fio,invalids,children,children_age,food,diet,water,drugs,drugs_detail,gigien,gigien_detail,pampers,pampers_detail,pers_data_agreement,photo_agreement,birth_year,_id
"{'family': '16.23 24/10', 'name': 'z', 'paternal': 'x'}",7145789456,11.09.1971,"{'city': 'Kharkov', 'distr': 'Шевченковский', 'street': 'ddd', 'house': '2', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1971,6356920e1dbe8c964ff00602
fio,phone,birth,addr,people_num,people_fio,invalids,children,children_age,food,diet,water,drugs,drugs_detail,gigien,gigien_detail,pampers,pampers_detail,pers_data_agreement,photo_agreement,birth_year,_id
"{'family': '20.30 24.10', 'name': '', 'paternal': ''}",,11.02.1985,"{'city': '', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1985,6356cbfaea1f3d1958a5c732
fio,phone,birth,addr,people_num,people_fio,invalids,children,children_age,food,diet,water,drugs,drugs_detail,gigien,gigien_detail,pampers,pampers_detail,pers_data_agreement,photo_agreement,birth_year,_id
"{'family': '23.00-24/10', 'name': 'ывапро', 'paternal': ''}",,11.02.1985,"{'city': '', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1985,6356cbfaea1f3d1958a5c732
fio,phone,birth,addr,people_num,people_fio,invalids,children,children_age,food,diet,water,drugs,drugs_detail,gigien,gigien_detail,pampers,pampers_detail,pers_data_agreement,photo_agreement,birth_year,_id
"{'family': '13.48_25/10', 'name': '', 'paternal': ''}",,11.02.1985,"{'city': '', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1985,6357bf1c4acc0afc27063d0f
